algorithm,attempts,avg_cpu_percent,avg_memory_mb,ciphertext_bytes,cpu_system_micros,cpu_user_micros,decapsulate_time_ms,decrypt_time_ms,disk_io_bytes,encapsulate_time_ms,encrypt_time_ms,error,keygen_time_ms,latency_micros,max_rss_bytes,net_rx_bytes,net_tx_bytes,operation,parameter_set,public_key_bytes,secret_key_bytes,sign_time_ms,signature_bytes,storage_overhead_pct,throughput_ops_per_sec,timestamp_seconds_utc,verify_time_ms
Dilithium2,1,,1.94921875,,0,921,,,0,,,,,0,2043904,38878234753,24741128822,Sign,,1312,2528,0.0,2420,,0.0,1762751331,
Dilithium2,1,,1.94921875,,0,930,,,0,,,,,0,2043904,38878234753,24741128822,Verify,,1312,2528,,2420,,0.0,1762751331,0.0
Dilithium3,1,,1.94921875,,0,942,,,0,,,,0.002,2,2043904,38878234753,24741128822,Keygen,,1952,4000,,3293,,500000.0,1762751331,
Dilithium3,1,,1.94921875,,0,951,,,0,,,,,0,2043904,38878234753,24741128822,Sign,,1952,4000,0.0,3293,,0.0,1762751331,
Dilithium3,1,,1.94921875,,0,960,,,0,,,,,0,2043904,38878234753,24741128822,Verify,,1952,4000,,3293,,0.0,1762751331,0.0
ECDSA-P256,1,,1.94921875,,0,969,,,0,,,,0.0,0,2043904,38878234753,24741128822,Keygen,,65,32,,72,,0.0,1762751331,
ECDSA-P256,1,,1.94921875,,0,979,,,0,,,,,0,2043904,38878234753,24741128822,Sign,,65,32,0.0,72,,0.0,1762751331,
ECDSA-P256,1,,1.94921875,,0,988,,,0,,,,,0,2043904,38878234753,24741128822,Verify,,65,32,,72,,0.0,1762751331,0.0
AES-GCM-256,1,,1.94921875,1040,0,1000,,,0,,0.0026850000000000003,,,2,2043904,38878234753,24741128822,BulkEncrypt,,,,,,101.5625,500000.0,1762751331,
AES-GCM-256,1,,1.94921875,1040,0,1011,,0.002084,0,,,,,2,2043904,38878234753,24741128822,BulkDecrypt,,,,,,101.5625,500000.0,1762751331,
Kyber512,1,,2.1796875,,0,613,,,0,,,,0.003,3,2285568,38878234753,24741128822,Keygen,,800,1632,,0,,333333.3333333333,1762751331,
Kyber512,1,,2.1796875,,0,641,,,0,,,,0.0,0,2285568,38878234753,24741128822,Keygen,,800,1632,,0,,0.0,1762751331,
Kyber512,1,,2.1796875,,0,654,,,0,0.0,,,,0,2285568,38878234753,24741128822,Encapsulate,,800,1632,,0,,0.0,1762751331,
Kyber512,1,,2.1796875,,0,664,,,0,0.0,,,,0,2285568,38878234753,24741128822,Encapsulate,,800,1632,,0,,0.0,1762751331,
Kyber512,1,,2.1796875,,0,674,0.0,,0,,,,,0,2285568,38878234753,24741128822,Decapsulate,,800,1632,,0,,0.0,1762751331,
Kyber768,1,,2.1796875,,0,685,,,0,,,,0.001,1,2285568,38878234753,24741128822,Keygen,,1184,2400,,0,,1000000.0,1762751331,
Kyber768,1,,2.1796875,,0,697,,,0,,,,0.001,1,2285568,38878234753,24741128822,Keygen,,1184,2400,,0,,1000000.0,1762751331,
Kyber768,1,,2.1796875,,0,707,,,0,0.0,,,,0,2285568,38878234753,24741128822,Encapsulate,,1184,2400,,0,,0.0,1762751331,
Kyber768,1,,2.1796875,,0,716,,,0,0.0,,,,0,2285568,38878234753,24741128822,Encapsulate,,1184,2400,,0,,0.0,1762751331,
Kyber768,1,,2.1796875,,0,724,0.0,,0,,,,,0,2285568,38878234753,24741128822,Decapsulate,,1184,2400,,0,,0.0,1762751331,
RSA-2048,1,,2.1796875,,0,734,,,0,,,,0.0,0,2285568,38878234753,24741128822,Keygen,,294,1192,,256,,0.0,1762751331,
RSA-2048,1,,2.1796875,,0,744,,,0,,,,0.0,0,2285568,38878234753,24741128822,Keygen,,294,1192,,256,,0.0,1762751331,
RSA-2048,1,,2.1796875,,0,753,,,0,0.0,,,,0,2285568,38878234753,24741128822,Encapsulate,,294,1192,,256,,0.0,1762751331,
ECDHE-P256,1,,2.1796875,,0,762,,,0,,,,0.0,0,2285568,38878234753,24741128822,Keygen,,65,32,,0,,0.0,1762751331,
ECDHE-P256,1,,2.1796875,,0,772,,,0,,,,0.0,0,2285568,38878234753,24741128822,Keygen,,65,32,,0,,0.0,1762751331,
ECDHE-P256,1,,2.1796875,,0,780,,,0,0.0,,,,0,2285568,38878234753,24741128822,Encapsulate,,65,32,,0,,0.0,1762751331,
Dilithium2,1,,2.1796875,,0,792,,,0,,,,0.002,2,2285568,38878234753,24741128822,Keygen,,1312,2528,,2420,,500000.0,1762751331,
Dilithium2,1,,2.1796875,,0,801,,,0,,,,,0,2285568,38878234753,24741128822,Sign,,1312,2528,0.0,2420,,0.0,1762751331,
Dilithium2,1,,2.1796875,,11,801,,,0,,,,,0,2285568,38878234753,24741128822,Verify,,1312,2528,,2420,,0.0,1762751331,0.0
Dilithium3,1,,2.1796875,,23,801,,,0,,,,0.002,2,2285568,38878234753,24741128822,Keygen,,1952,4000,,3293,,500000.0,1762751331,
Dilithium3,1,,2.1796875,,32,801,,,0,,,,,0,2285568,38878234753,24741128822,Sign,,1952,4000,0.0,3293,,0.0,1762751331,
Dilithium3,1,,2.1796875,,41,801,,,0,,,,,0,2285568,38878234753,24741128822,Verify,,1952,4000,,3293,,0.0,1762751331,0.0
ECDSA-P256,1,,2.1796875,,51,801,,,0,,,,0.0,0,2285568,38878234753,24741128822,Keygen,,65,32,,72,,0.0,1762751331,
ECDSA-P256,1,,2.1796875,,59,801,,,0,,,,,0,2285568,38878234753,24741128822,Sign,,65,32,0.0,72,,0.0,1762751331,
ECDSA-P256,1,,2.1796875,,68,801,,,0,,,,,0,2285568,38878234753,24741128822,Verify,,65,32,,72,,0.0,1762751331,0.0
AES-GCM-256,1,,2.1796875,1040,80,801,,,0,,0.002464,,,2,2285568,38878234753,24741128822,BulkEncrypt,,,,,,101.5625,500000.0,1762751331,
AES-GCM-256,1,,2.1796875,1040,92,801,,0.002144,0,,,,,2,2285568,38878234753,24741128822,BulkDecrypt,,,,,,101.5625,500000.0,1762751331,
Kyber512,1,,2.16796875,,0,636,,,0,,,,0.005,5,2273280,38878234753,24741128822,Keygen,,800,1632,,0,,200000.0,1762751331,
Kyber512,1,,2.16796875,,0,664,,,0,,,,0.0,0,2273280,38878234753,24741128822,Keygen,,800,1632,,0,,0.0,1762751331,
Kyber512,1,,2.16796875,,0,677,,,0,0.0,,,,0,2273280,38878234753,24741128822,Encapsulate,,800,1632,,0,,0.0,1762751331,
Kyber512,1,,2.16796875,,0,687,,,0,0.0,,,,0,2273280,38878234753,24741128822,Encapsulate,,800,1632,,0,,0.0,1762751331,
